id,visitor_id,prospect_id,type,created_at,url,duration_seconds,campaign,source,company_domain,channel
880000,566081,,Download,05/07/2026,/case-studies,426,Always-On Search,linkedin,,social
880001,542823,,Download,2026-07-11 00:00:00,/pricing,277,Webinar Series,direct,,direct
880002,560262,,Visit,2026-07-09 00:00:00,/,691,Q3 Launch,direct,,direct
880003,532374,,Page View,11/07/2026,/pricing,630,,linkedin,,social
880004,575108,,Visit,2026-07-14 00:00:00,/product,792,,linkedin,,social
880005,531227,003dSq7BAsMzOeip2s,Click,Jul 09 2026,/case-studies,877,Q3 Launch,direct,sabah.com,direct
880006,511633,,Page View,2026-07-11 00:00:00,/blog/agentic-ai,164,Q3 Launch,direct,,
880007,582370,,Visit,2026-07-15 00:00:00,/pricing,602,Newsletter,email,,
880008,518416,,Page View,2026-07-14 00:00:00,/case-studies,143,Always-On Search,direct,,
880009,550665,0034Kp57AK0Q8FTBl6,Page View,2026-07-12 00:00:00,/contact,796,,bing,straits.com,paid_search
880010,518406,,Download,2026-07-08 00:00:00,/contact,338,Always-On Search,google,,paid_search
880011,587200,,Download,2026-07-12 00:00:00,/pricing,142,Q3 Launch,linkedin,,social
880012,504530,003oOBGVzbrYIzgfgJ,Visit,2026-07-08 00:00:00,/pricing,763,Q3 Launch,bing,pacific.com,paid_search
880013,535684,,Download,2026-07-07 00:00:00,/demo,420,Always-On Search,bing,,paid_search
880014,548479,,Click,2026-07-10 00:00:00,/pricing,845,Webinar Series,linkedin,,social
880015,500287,,Click,2026-07-15 00:00:00,/demo,557,Q3 Launch,linkedin,,social
880016,573557,003tT8Vs3kvf9rHxYC,Click,2026-07-13 00:00:00,/demo,821,Always-On Search,linkedin,lumina.com,social
880017,561486,,Click,2026-07-09 00:00:00,/contact,458,Webinar Series,direct,,direct
880018,553845,,Download,07/07/2026,/pricing,283,Newsletter,direct,,direct
880019,514931,,Click,05/07/2026,/blog/agentic-ai,615,Q3 Launch,google,,paid_search
880020,529217,003HO1DgljEAXus2tS,Page View,2026-07-06 00:00:00,/product,587,Always-On Search,google,lumina.com,paid_search
880021,566001,,Form Submission,2026-07-11 00:00:00,/product,246,Q3 Launch,email,,email
880022,514893,003zxgJgL2leXYC0VW,Click,2026-07-09 00:00:00,/case-studies,899,Q3 Launch,email,lumina.com,
880023,569032,,Form Submission,2026-07-12 00:00:00,/pricing,751,Q3 Launch,google,,
880024,595382,,Form Submission,2026-07-14 00:00:00,/pricing,279,Webinar Series,bing,,paid_search
